SMILES,Hit_Miss,MolLogP,TPSA,FractionCSP3,HeavyAtomMolWt,LabuteASA,HallKierAlpha,BertzCT,Chi0n,Chi4n,NumAromaticRings,NumAliphaticRings,NumRotatableBonds,NumHeteroatoms,NumHDonors,NumHAcceptors,EState_VSA3,RadiusOfGyration,PMI1,PMI2,PMI3,InertialShapeFactor,Asphericity,SpherocityIndex
C(=C/c1ccc2nncn2c1)\c1ccccc1,1,2.899700000000001,30.19,0.0,210.17499999999998,99.05468844768009,-2.4199999999999995,641.8697397333867,9.192493747585761,1.6998530282735795,3.0,0.0,2.0,3.0,0.0,3.0,0.0,3.814039857324082,273.27760156966673,2952.3976667207967,3211.7062158265044,0.0033638374690450096,0.7663771142991722,0.016594033073873794
C(=C/c1nccc2c1[nH]c1ccccc12)\c1ccccc1,1,4.886500000000003,28.68,0.0,256.22299999999996,122.3209159876012,-2.8699999999999988,923.9982692541894,11.452767094965097,2.6611118613893274,4.0,0.0,2.0,2.0,1.0,1.0,0.0,3.8979472985293713,792.6710880460573,3325.9346875427705,4096.330496557086,0.001024296549775719,0.5312307145834841,0.017118376419561643
C(=N/Nc1nncc2ccccc12)\c1ccccn1,1,2.4707999999999997,63.06,0.0,238.18899999999996,109.5778221726402,-2.819999999999999,688.069929503845,10.062357073896091,1.7223808234551188,3.0,0.0,3.0,5.0,1.0,5.0,5.817862777835028,3.50071022360422,691.5104172879903,2556.3300645920267,2861.9248633308293,0.001291694984093262,0.44370798940287853,0.22765917906240998
C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,1,7.752000000000008,54.370000000000005,0.8,408.3270000000002,201.0373196191293,-1.3800000000000001,892.9990981130845,22.14417906505166,9.293321805995845,0.0,4.0,5.0,3.0,1.0,2.0,34.52505808431517,4.832941538898458,2249.4332494013966,8852.26090565653,10139.222643105084,0.0003881293059263011,0.4765424138303714,0.20415522346545573
C/C(=C1\C=CC=N1)c1ccc(-c2ccc[nH]2)o1,1,3.646300000000002,41.29,0.07142857142857142,212.16699999999997,99.19192496499416,-2.29,584.2687995952699,9.474264039480829,1.8163831098252328,2.0,1.0,2.0,3.0,1.0,2.0,0.0,3.2512498506744785,530.07150996933,1857.6364492105422,2353.4924548781096,0.0014890642976941825,0.47450244312183576,0.038003506814195974
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,0,2.5925000000000016,146.05,0.8461538461538461,456.2770000000003,208.00215344589427,-1.5200000000000002,663.525795434798,21.304422850077803,4.589106345050168,0.0,2.0,16.0,9.0,4.0,8.0,38.04933332787313,6.870525013549503,1617.4413332230254,22630.544450134228,23015.510953816054,0.0006079191781680263,0.8054084812183139,0.0991487122970702
C/C(=C\[C@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)[C@@H](C)O)C(=O)NCCC(=O)O,0,3.6191000000000013,86.63000000000001,0.8,318.22300000000007,152.44492205726843,-1.36,423.319264378683,16.710559292998134,3.3385197005086344,0.0,0.0,12.0,5.0,3.0,3.0,29.24472871471484,5.310992721850766,851.245284553886,9546.308771485623,9658.441461114078,0.001161110911190084,0.7616461887982422,0.20640046696030084
C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2[nH]nc(-c3ccccc3)c21,1,3.943080000000002,100.86,0.1,328.24600000000015,149.75275595693424,-3.7199999999999993,1011.6562502373667,14.061776733013529,3.2039864389942374,3.0,1.0,3.0,6.0,2.0,5.0,17.213340285379083,3.5773185299041885,2395.8484692110706,2617.737305112199,3800.465547863652,0.0002874947481513688,0.08807156513133323,0.4691147087727096
C/C(=N/NC(=O)Cc1cc(O)[nH]n1)c1ccc([N+](=O)[O-])cc1,1,1.1064000000000003,133.51,0.15384615384615385,290.17400000000004,124.3695800179557,-3.23,689.8944705582192,11.6074573805261,1.681134924633179,2.0,0.0,5.0,9.0,3.0,6.0,16.969064489316157,4.0335463193537615,895.4031891089229,4262.937094984659,4710.02007731818,0.0010108053430039501,0.5358442072253553,0.21512393830825127
C/C(=N\NC(=O)CC#N)c1cc2ccccc2oc1=O,1,1.54688,95.46000000000001,0.14285714285714285,258.17199999999997,113.87353961848366,-2.9399999999999995,760.4602716408517,10.713030189526183,1.631905356163011,2.0,0.0,3.0,6.0,1.0,5.0,11.294705144412944,3.889550978753376,661.2777046988506,3520.5844295109287,3965.195208515588,0.0013426608034978426,0.5812223660187918,0.09793228166859246
