SMILES,Hit_Miss,MolLogP,TPSA,MolWt,NumRotatableBonds,HallKierAlpha,FractionCSP3,RingCount,NumHDonors,NumHAcceptors
C/C(CC(=O)N1CCN(C=O)CC1)=N\NC(=O)c1cccc([N+](=O)[O-])c1,1,0.39120000000000094,125.22000000000003,361.35800000000006,6.0,-3.3000000000000003,0.375,2.0,1.0,6.0
C/C(CC(=O)NCc1ccco1)=N\NC(=O)c1ccc([N+](=O)[O-])cc1Cl,1,2.6534000000000004,126.84,378.77200000000016,7.0,-3.2,0.1875,2.0,2.0,6.0
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)C(=O)NC(C)C,1,0.7353199999999999,112.54999999999998,319.36500000000007,5.0,-2.7700000000000005,0.4,1.0,3.0,5.0
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)COc1cccc(C)c1,1,2.598140000000001,92.67999999999999,354.4100000000001,7.0,-3.2199999999999998,0.2631578947368421,2.0,2.0,5.0
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccc(C)cc1,0,2.8329400000000016,83.44999999999999,324.38400000000007,5.0,-3.0199999999999996,0.2222222222222222,2.0,2.0,4.0
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(C)c1,1,2.8329400000000016,83.44999999999999,324.38400000000007,5.0,-3.0199999999999996,0.2222222222222222,2.0,2.0,4.0
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(F)c1,0,2.6636200000000008,83.44999999999999,328.34700000000004,5.0,-3.0899999999999994,0.17647058823529413,2.0,2.0,4.0
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccccc1C,1,2.8329400000000016,83.44999999999999,324.38400000000007,5.0,-3.0199999999999996,0.2222222222222222,2.0,2.0,4.0
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccncc1,1,1.91952,96.33999999999999,311.345,5.0,-3.09,0.1875,2.0,2.0,5.0
C/C(CC(=O)Nc1ccc(Cl)cn1)=N\NC(=O)Cc1cccs1,1,2.8599000000000006,83.44999999999999,350.8310000000001,6.0,-2.2499999999999996,0.2,2.0,2.0,5.0
